resMealType_en,resMealType,resDistinction_en,resDistinction,resOpinion_en,resOpinion
Korean,한식,One MICHELIN Star,미쉐린 1스타,The name of the restaurant Joo Ok embodies the simple philosophy of Chef Shin Chang-ho which is to serve dishes that are as exquisite as precious gems. Shins culinary creations are a testament to how a citys food culture deeply rooted in tradition withstands the test of time. The restaurants most prized ingredients consist of some 30 different varieties of fermented condiments; shots of house-made vinegar are offered as an aperitif before the meal. The restaurants celebrated perilla oil is pressed from perilla seed harvested from his family farm in Jinju. Enjoy the great view of one of the most dynamic areas of the city.,구슬과 옥 같은 귀한 요리를 선보이고자 하는 신창호 셰프의 마음이 담긴 주옥. 시대의 흐름과 수요에 따라 한식의 모습은 진화하지만 장(醬)과 초(醋)처럼 오랜 전통을 가진 발효 문화는 쉽게 변하지 않는다. 주옥이 선보이는 음식의 출발점은 바로 직접 담가 발효시킨 30여 가지의 초와 장이다. 전국을 돌며 직접 조달한 식재료 그리고 진주의 가족 텃밭에서 손수 재배해 짠 들깨 기름 등에서 손님을 극진히 대접하고자 하는 신창호 셰프의 정성을 느낄 수 있다. 더 플라자 호텔 3층에 위치한 주옥의 새로운 공간에서 역동적인 서울 시내의 정취를 물씬 느껴보자.
Contemporary,컨템퍼러리,One MICHELIN Star,미쉐린 1스타,This Table uses a wide range of seasonal ingredients infused with optimal flavors from Taean South Chungcheong Province—the chef’s hometown. His affection for the region and genuine passion to serve the freshest and healthiest food to patrons are the reasons behind his use of such choice. The chef sometimes aided by the seasoned master is able to skillfully transform his hometown ingredients into exciting dishes and at other times there is minimal culinary intervention. Diners who visit are bound to relish the allure of this European cuisine imbued with the flair of Taean.,테이블 포포는 충남 태안의 풍광을 맞고 자란 농산물과 계절에 따라 맛의 절정을 보여 주는 각종 해산물이 특징이다. 셰프는 고향에 대한 애정은 물론 좋은 식재료를 고객에게 전하고자 하는 순수한 마음으로 태안의 우수한 식재료를 자신의 식탁에 옮겨 놓았다. 특히 태안에서 직접 농사를 짓는 셰프 가족의 노력이 셰프와 테이블 포포가 지향하는 로컬 푸드의 토대라 할 수 있다. 셰프는 자신의 노련한 솜씨를 가미하기도 하고 때로는 개입을 최소화하기도 하면서 태안의 식재료를 근사한 요리로 탈바꿈시킨다. 테이블 포포에서 태안의 풍미가 담긴 유러피안 퀴진의 매력에 빠져 보기 바란다.
French,프렌치,One MICHELIN Star,미쉐린 1스타,Internationally celebrated French Chef Pierre Gagnaire opened his eponymous contemporary fine dining restaurant on top of Lotte Hotel’s New Wing in 2008. The elegant dining space adorned with Murano chandeliers and gold trim walls exudes classic French luxury. The artfully presented food made with 80% local ingredients is respectful of the Paris-based chef’s creative style. With more than 250 labels the wine cellar display also impresses.,소공동 롯데 호텔 신관 최상층에 위치한 이곳은 프랑스 파리 출신의 세계적인 셰프 피에르 가니에르가 2008년 오픈한 프렌치 파인 다이닝 레스토랑이다. 고급 인테리어와 우아한 다이닝 공간을 자랑하는 이곳은 피에르 가니에르 셰프의 팀이 한국의 식재료를 바탕으로 만들어 내는 모던한 프랑스 요리를 선보이고 있다. 250여 종 이상의 고급 와인이 준비되어 있는 유리 와인 저장고와 모든 룸에서 내려다보이는 멋진 도심 경관은 시각적 즐거움도 충족시켜 준다. 정중하고 전문적인 서비스도 매력적이다.
Korean,한식,One MICHELIN Star,미쉐린 1스타,For a taste of the Korean past mingled with the present head over to Hansikgonggan a restaurant helmed by Chef Cho Hee-suk and co-run by Chef Jeong Gyeong-il. Hailed as the godmother of Korean cuisine Cho is committed to passing on her knowledge — based on years of experience and research — to the younger generation of chefs while interpreting the traditional flavors with contemporary sensibilities for the modern diner. Look forward to both the expected and the unexpected with a good dose of love and finesse.,창덕궁이 내려다보이는 아트 갤러리 아라리오 4층에 위치한 한식공간. 이곳에선 자타 공인 한식의 대모라 할 수 있는 조희숙 셰프와 정경일 셰프의 정성 가득한 한식을 맛볼 수 있다. 조 셰프는 오랜 세월에 걸쳐 축적된 노하우의 계승과 한식의 현대적 구현을 목표로 메뉴에 대한 전반적인 감독과 연출을 총괄하고 있다. 그 결과는 끊임없는 메뉴 개발과 연구의 결실로 대중에게 익숙한 요소와 잊혀져 가는 전통의 것을 시대 흐름에 맞게 표현한 맛의 향연이다. 한식의 맛과 멋을 한껏 즐길 수 있는 공간이다.
Korean,한식,Bib Gourmand,빕 구르망,Located in a quiet alley away from the touristy bustle of Insa-dong A Flower Blossom on the Rice is a restaurant that caters to the health-conscious diner serving wholesome home-cooked fare using only certified organic ingredients sourced straight from the farm. The signature dish at this restaurant is the Bojagi Bibimbap — a log of cooked rice topped with five different sautéed vegetables in their multi-colored glory encased in a crépe-thin egg omelet resembling a gift tied with a seaweed ribbon and presented with a single flower on top.,건강에 민감한 현대인들을 위해 친환경 유기농 재료만을 사용해 정갈한 한 끼 식사를 제공하는 꽃 밥에피다는 인사동에 위치한 한식 레스토랑이다. 식재료뿐 아니라 인테리어 담음새 등 구석구석 정성이 가득 느껴지는 이곳은 농인 법인에서 직접 운영하며 유기농 농장에서만 재료를 납품받는다. 이곳의 대표 메뉴는 노란 달걀 지단 보자기에 단아하게 싸여 나오는 보자기 비빔밥. 지단을 걷으면 한 송이 꽃이 피어 있는 듯 밥 위에 곱게 놓여 있는 색색가지 나물들이 눈부터 즐겁게 만든다.
Dubu,두부,Bib Gourmand,빕 구르망,Tucked away in Ahyeon-dong this hidden gem specializes in rustic homemade bean curd. The unctuously creamy bean curd is made from scratch daily at the crack of dawn. The secret to the elevated nuttiness of local soybeans that shine through in Hwanggeum Kongbat’s bean curd is the extra thick soymilk and reduced levels of the coagulant. With a desire to share healthy food with other people the proprietor also makes and sells homemade rich soybean paste stew and unrefined rice wine.,100% 국내산 콩과 소금으로 매일 새벽 당일 판매할 두부를 만드는 두부 전문점. 황금콩밭의 두부는 진한 두유와 소량의 간수를 사용해 콩 특유의 고소하면서도 달달한 맛과 우유처럼 부드러운 식감을 자랑한다. 출판사를 운영하는 작가 출신의 윤태현 대표는 본인이 즐기는 건강한 음식을 주변 사람들과 나누고픈 마음에 손수 담근 청국장과 쌀과 누룩 물 이외에는 아무것도 넣지 않은 전통 탁주도 함께 판매한다. 두부 전문점이지만 제주 무항생제 돼지고기 보쌈과 자연산 우럭찜도 이곳의 별미다.
Vegetarian,베지테리안,Bib Gourmand,빕 구르망,Base is Nice is a vegetarian-friendly restaurant. Chef/owner Jang Jin-a had a fairly long career overseas as a restaurant consultant food stylist and food & beverage planner. The diner’s natural ambience and well-balanced vegetable-centered dishes are proud manifestations of her lifelong culinary endeavors. Creations of rice and vegetables accompanied by soup and side dishes are refined and tasty. As Jang puts it the restaurant’s menu is a way to experience everyday food through a natural veggie-centered diet and not thanks to a conscious approach to vegetarianism. Reservation required.,채소 친화적 레스토랑인 베이스 이즈 나이스. 이곳의 주인장인 장진아 대표는 레스토랑 컨설턴트와 푸드스타일리스트 식음 기획자로 꽤 긴 시간을 해외에서 활동하였다. 이곳의 내추럴한 분위기와 채소를 중심으로 풀어낸 균형 잡힌 요리에는 그녀의 이런 경험이 오롯이 담겨 있다. 채소를 이용한 덮밥 스타일의 메뉴와 정갈하게 차려낸 국과 반찬은 깔끔하면서도 맛이 일품이다. 주인장의 표현처럼 이곳은 채식에 대한 의식적 접근이 아닌 자연스러운 채소 식생활과 일상 속의 미식을 경험할 수 있는 메뉴를 지향한다. 1인 운영 레스토랑이라 예약 손님만 받고 있으니 방문 전 예약은 필수다.
Korean,한식,Bib Gourmand,빕 구르망,Mr. Ahns Craft Makgeolli is a most befitting venue for the Korean term banju or alcohol accompanying a meal. What distinguishes this gastropub is its avoidance of the stereotypical Korean pubs and expression of the direction they should take—in this age of new Korean cuisine that is traditional yet imbued with a modern touch. At this charming spot patrons can enjoy seasonally changing menus of savory Korean anju (snacks paired with alcohol) main dishes as well as a wide selection of traditional liquors that simply get better with time. It’s a perfect place for both light meals and friendly social drinking—a versatile venue that appeals to distinct audiences.,식사에 술을 곁들이는 반주라는 한국적 표현이 잘 어울리는 안씨 막걸리. 이곳의 매력은 획일적인 한국식 주점에서 탈피하여 전통적이지만 모던하고 세련된 감각의 한식이 부상하는 시대에 발맞추어 한국 술집의 방향성을 잘 표현하고 있다는 점이다. 계절 변화에 맞춰 제공되는 맛깔스러운 한국 요리와 안줏거리들 여기에 시간과 함께 익어가는 한국의 술까지 편하게 즐길 수 있는 매력적인 곳이다. 가벼운 식사는 물론이고 흥겨운 술자리를 위한 장소로도 손색이 없다. 고객의 다양한 목적에 맞게 즐길 수 있는 레스토랑이다.
Yakitori,야키토리,Bib Gourmand,빕 구르망,This yakitori specialist is nestled in a quiet corner in Yeonnam-dong. Make your way inside to discover an elongated counter open kitchen and at its center Chef Kim Byoung-mook busy concentrating on grilling yakitori skewers over a charcoal as well as a straw fire. This visually arresting image of the chef standing under the intense lights that also illuminate the grill is reminiscent of an actor delivering a monologue on stage. The restaurants motto is plain and simple We prepare fresh purebred Korean chicken every day and grill our skewers over the highest-grade Japanese Binchotan charcoal and serve them immediately to our patrons.,고즈넉한 연남동에 위치한 야키토리 전문점. 실내에 들어서면 길게 펼쳐진 카운터 테이블과 오픈형 주방 그리고 그 중심에 있는 화로 앞에서 연신 숯불과 짚불을 이용해 구이에 집중하는 김병묵 셰프를 볼 수 있다. 화로를 비추는 밝은 조명 아래의 셰프는 마치 무대에서 독백을 하는 배우처럼 강렬한 시각적 흡입력을 보여준다. 그는 신선한 토종닭을 매일 손질하며 최고급 비장탄에 구워 즉시 손님에게 제공한다.는 본질에 집중한다. 셰프가 추구하는 그 본질이야말로 야키토리 묵의 가장 큰 매력이다. 1부와 2부로 나누어 오마카세만을 제공하기 때문에 예약은 꼭 필요하다.
Noodles,국수,Bib Gourmand,빕 구르망,Niroumianguan features a memorable juxtaposition of clean white and vibrant rust colors in its décor. Chinese beef noodle soup a popular delicacy across the Greater China region is commonly known to have originated from Taiwan but its real origin is Lanzhou in mainland China. As the chef learned the recipe from a noodle joint in China’s Shandong Province his restaurant serves up fare that is slightly different from the classic Taiwanese style. Add plenty of cilantro to the mildly sweet broth complete with a clean yet rich taste; or a dab of chili sauce to give your dish deeper flavor.,노포들이 즐비한 종각역 부근 청계천로에 위치한 우육면관은 작은 입구에 흰색과 적갈색의 인테리어가 시선을 끌어당긴다. 흔히 우육면은 대만 음식으로 알고 있지만 사실 우육면은 중국 란저우시에서 유래한 모든 중화권의 대중적인 음식이다. 이곳에서는 셰프가 중국 산동성에서 직접 전수받은 레시피를 사용하여 대만식과는 조금 다른 우육면을 선보인다. 깔끔하고 진하면서 살짝 단맛이 도는 국물에 고수를 듬뿍 올려 먹거나 라장을 추가하여 좀 더 진한 맛을 즐길 수 있다. 단일 메뉴만 판매하나 중국식 물만두와 오이소채를 곁들여 먹을 수 있으니 참고하길.
Mandu,만두,Bib Gourmand,빕 구르망,Established in 1970 by an elderly Gaeseong native this restaurant has been serving Gaeseong-style dumplings for three generations. The dumplings here are large plump and filled with a generous amount of shredded napa cabbage and mung bean sprouts. The soup broth is made with beef brisket and the owners prepare the dumplings by hand daily with the freshest ingredients. The traditional Korean hanok setting is both charming and elegant.,1970년 개성 출신의 할머니가 시작해 3대째 계승되어온 개성만두 궁은 딸의 손을 거쳐 현재는 손녀가 운영하고 있다. 개성 만두의 특징은 무엇보다 크고 꽉 찬 속인데 이곳의 만두소는 배추와 숙주나물을 넉넉히 넣어 담백하고 삼삼한 맛이 일품이다. 만둣국과 떡국엔 양지를 고아 만든 육수를 사용하며 만두소는 매일 신선한 재료로 정성스레 버무린다. 단아한 한옥에서 건강한 음식의 맛을 즐길 수 있다.
Gejang,게장,Bib Gourmand,빕 구르망,Soy sauce-marinated crab and stylish décor don’t always go hand in hand but at Gebangsikdang they do. A collaboration between fashion marketer Bang Geon-hyuk and his parents veterans of the soy sauce marinated crab restaurant business Gebangsikdang caters to a trend-conscious crowd with its polished interior and its wide selection of raw crab dishes. For those who find it bothersome to eat crab on the shell there are options that come with just the crab flesh and crab roe on a mound of hot rice.,흡사 소담한 카페테리아나 베이커리를 연상시키는 외관과는 달리 이곳은 게장 전문점이다. 패션 마케터 방건혁 대표와 25년간 게장 전문점을 운영해온 부모님의 합작으로 탄생한 게방식당에선 게장이라는 한식 메뉴를 보다 다양한 고객층에게 선보이고자 노력한다. 이곳엔 간장게장과 양념게장 세트뿐만 아니라 좀 더 먹기 수월한 게알 백반 전복장 백반 새우장 백반까지 다양한 메뉴가 준비되어 있다. 세트에는 기본적으로 밥과 국 기본 반찬을 함께 제공하며 테이크아웃도 가능하다.
Dwaeji-gukbap,돼지국밥,Bib Gourmand,빕 구르망,The restaurant’s clean white signage says it all. Chef Park Chan-il’s dwaeji-gukbap or pork and rice soup looks and tastes unadulterated. Prepared simply by boiling black pork ham and Duroc pork shoulder cuts the clear broth is fragrant and profoundly flavorful. Although gukbap’ is commonly served with rice already mixed into the hot soup Park serves the two separately to preserve the taste of freshly steamed rice. The heaping of chopped chives added to the soup just before it is served renders the broth wonderfully aromatic.,광화문 국밥은 박찬일 셰프가 운영하는 돼지국밥 전문점으로 흰색 간판의 정갈한 이미지가 그의 음식과 꼭 닮아 있다. 흑돼지 엉덩이 살과 듀록 돼지 어깨 살로만 맛을 내는 이곳의 돼지국밥은 맑고 깨끗한 동시에 은은한 향과 깊은 맛을 자랑한다. 국밥이지만 국물과 밥을 따로 내는 이유는 갓 지은 밥맛을 최대한 살리기 위해서라고 한다. 거기에 넉넉하게 올려 내는 부추 고명이 육수에 향긋함을 더해준다. 편안하게 한 끼 식사를 즐기기에 안성맞춤인 곳이다.
Udon,우동,Bib Gourmand,빕 구르망,When one can hear the dull tap of a blade against a wooden board every time a customer places an order it’s a telltale sign that the chefs are serious about their craft. At Kyodaiya that craft is Sanuki udon. The thick noodles are always cut to order to preserve their characteristic elasticity and smoothness until the very last minute. In addition to the classic kake udon flavored with dried and smoked sardines and seasoned with light soy sauce the chef brothers also offer classics like tempura udon and chilled bukkake udon.,합정역 근처의 조용한 주택가에 들어서면 나무 도마에 탁탁탁 작두날 튕기는 소리가 경쾌하게 들려온다. 형제의 집을 뜻하는 교다이야는 두 형제가 운영하는 우동 전문점이다. 이곳에선 주문이 들어오는 대로 면을 써는 것을 원칙으로 한다. 면을 만들어놓으면 수분이 증발해 사누키 우동 특유의 매력을 느낄 수 없기 때문이다. 탱글탱글한 동시에 쫄깃하며 매끄러운 사누키 우동 면발 정어리 훈제 포와 연간장으로 맛을 낸 시원한 감칠맛의 국물. 늘 한결같은 이곳의 우동 맛은 두 사장의 뚝심 있는 모습과 닮아 있다.
Barbecue,바비큐,Bib Gourmand,빕 구르망,Sapporo-style lamb barbecue is the name of the game at Kyoyang Siksa which specializes in tender young lamb less than 10 months old. Flown in from Australia this meat is juicy and tender and the menu offers three cuts: French rack ribs and loin steak. These may be grilled tableside by the staff. Other solid dishes include soup curry with grilled vegetables and aromatic garlic rice served with small sheets of laver to wrap it in. Seating is limited so be sure to book ahead.,상호에서부터 궁금증을 유발하는 이곳은 이태원에 자리하고 있는 삿포로식 양갈비 전문점이다. 호주에서 10개월 미만의 양고기를 공수받아 어린 양 특유의 고소한 풍미와 부드러운 식감이 살아 있다. 기름기가 적고 고소한 프렌치 랙 쫄깃한 갈빗살 그리고 부드러운 알등심의 세 가지 부위를 맛볼 수 있다. 닭 육수를 베이스로 다양한 채소를 구워 곁들인 수프 카레와 향긋한 마늘밥 또한 꼭 먹어봐야 하는 메뉴다. 세련된 인테리어가 돋보이는 이곳은 다이닝 룸을 제외하면 10석 남짓의 바 좌석밖에 없기 때문에 예약은 필수다.
Dim,딤섬,Bib Gourmand,빕 구르망,Run by a Korean husband and Chinese wife Goobok Mandu is a no-frills establishment that specializes in Chinese-style dumplings. The couple prepare the dumplings from scratch based on an old family recipe passed down to them by her grandmother. The dumplings are freshly made to order each time. Try the restaurant’s signature pot stickers with their glorious wafer-thin web of crispy golden crust as well as the steamed xiao long bao.,한국인 남편과 중국인 아내가 운영하는 구복만두는 좋은 재료로 정성껏 빚은 맛있는 만두를 저렴한 가격에 즐길 수 있는 가격 만족도가 훌륭한 식당이다. 이곳의 대표 메뉴는 뜨거운 기름에 노릇하게 구운 후 자작하게 물을 부어 수분이 모두 증발할 때까지 찌는 일명 물에 튀긴 만두다. 스테디셀러인 샤오롱바오와 통새우 만두에 김치 만두도 별미. 테이크아웃도 가능하며 주류는 판매하지 않는다.
Barbecue,바비큐,Bib Gourmand,빕 구르망,Located along a main road in Sindang-dong Geumdwaeji Sikdang can be easily spotted by its gold-on-white-tile signage and the queue outside the door long after peak dining hours. The establishment serves up fine cuts of YBD pig a cross breed between Yorkshire Berkshire and Duroc. The texture of the pork is firm and meaty with a good balance of flavorful fat that renders the meat supremely juicy. Items are is cooked on a cast-iron grill over coal briquettes that help keep the temperature constant. The restaurant does not accept reservations.,신당동 길가에 자리한 흰색 타일에 황금색 간판이 눈에 띄는 금돼지식당은 식사 시간이 아닌데도 문밖으로 길게 줄 서 있는 풍경이 낯설지 않을 만큼 인기가 높다. 이곳의 대표는 살코기의 풍부한 육즙 탄력 있고 쫄깃한 식감 그리고 지방의 풍미가 잘 살아 있는 돼지 품종을 찾기 위해 오랜 시간을 투자했는데 그 답은 요크셔와 버크셔 그리고 듀록 돼지의 교배종인 YBD 돼지에 있었다고 한다. 갈비뼈가 붙어 있는 본삼겹과 등 목살 등의 특수 부위를 연탄불에 달군 주물 판에 구우면 고기가 타지 않고 맛있게 익는다. 그 흔한 돼지고기지만 한번 맛보면 절대 잊을 수 없을 것이다. 예약은 받지 않는다.
Naengmyeon,냉면,Bib Gourmand,빕 구르망,Tucked away in a small alley among densely populated office buildings that sees a constant stream of foot traffic the main building of this long-standing institution recently underwent a major facelift. A longtime favorite among patrons of all ages for its authentic Pyeongyang cold buckwheat noodles and beef hot pot Nampo Myeonok continues to charm with its consistently good food and friendly service. Chair seating and floor seating are both available.,남포면옥은 사람들의 발길이 끊기지 않는 오피스 빌딩 밀집 지역의 활기 넘치는 좁은 골목에 위치한 이북식 냉면집이다. 평양식 냉면 어복쟁반 전 요리를 전문으로 하는 남포면옥은 남녀노소를 불문하고 오랜 세월에 걸쳐 대중적인 사랑을 받아왔다. 늘 손님들로 분주한 분위기 속에서도 군더더기 없는 서비스와 한결같이 밝은 종업원들의 응대가 매력적인 남포면옥은 테이블식 좌석과 방석식 테이블의 룸으로 구성되어 있다.
Doganitang,도가니탕,Bib Gourmand,빕 구르망,For a soul-satisfying bowl of ox knee soup look no further than Daesungjip. Its reputation for quality and consistency has seen generations of loyal patrons come for the rich hearty signature so thick with ox knee cartilage that you can stand a spoon up in it. Take a bite of the slow-cooked cartilage doused in the special soy dipping sauce and all is right in the world. A long queue is the norm here but thankfully takeaways are also possible.,뽀얗고 맑은 국물에 고기가 붙은 도가니와 쫄깃한 힘줄이 풍성하게 들어 있는 대성집은 해장국집으로 시작해 현재 도가니탕 전문점이 되었다. 진한 국물 속에 가득 담겨있는 도가니에서 소박한 여유와 정감을 느낄 수 있다. 김치와 함께 밥을 가득 말아 특제 간장 소스에 찍어 먹으면 훌륭한 한 끼 식사가 된다. 국내산 식재료만을 고집했지만 수량이 모자라 현재는 미국산을 조금 섞어 사용한다. 늘 문전성시를 이루며 선택에 따라 포장도 가능하다.
Seolleongtang,설렁탕,Bib Gourmand,빕 구르망,In the realm of Korean comfort food there is little else more quintessential than seolleongtang — a hearty bowl of soup made by boiling ox bones and beef for hours until the broth turns almost milky white. Mapo Ok which opened its doors in 1949 makes its signature dish by boiling brisket and ox bones until slightly opaque. The ox bone soup is served with thick slices of tender brisket and rice already mixed into the piping hot broth. Ask for a side of kimchi juice to season your soup for that extra dimension of flavor.,고기와 국물을 선호하는 한국인에게 설렁탕만 한 음식이 또 있을까? 서울 설렁탕 중에서도 마포식 설렁탕은 국물이 뽀얗지 않고 맑은 편이다. 1949년에 개업한 마포옥은 양지와 차돌박이 사골로 곤 진한 국물에 두툼하게 썬 양지머리를 푸짐하게 올려 제공한다. 국물에 밥을 토렴해 내는 것도 이 집의 특징인데 무엇보다 소고기 국물의 고소한 감칠맛과 달달한 밥의 조화가 일품이다. 여기에 배추 겉절이 파김치 깍두기 등 다양한 김치를 제공한다. 이 외에도 차돌 수육을 넉넉하게 얹어주는 차돌탕도 추천한다.
Mandu,만두,Bib Gourmand,빕 구르망,Located in a trendsetting part of the city dominated by state-of-the-art fashion this restaurant has stood its ground for 30 years with a humble dish that has wooed the palates of countless people — dumpling soup. Mandujip specializes in Pyeongando-style dumplings filled with minced beef bean curd mung bean sprouts green onions and sesame oil. Each order comes with six large dumplings in a clear flavorful beef broth made with chunks of brisket.,고급 레스토랑이 즐비한 청담동 근방에서 30년 동안 만두 하나로 외길을 걸어온 만두집. 소박하고 정갈한 평안도 스타일의 만둣국이 이 집의 대표 메뉴로 레스토랑의 내부 또한 아담하고 깔끔하다. 돌아가신 어머니의 가업을 계승한 현 대표는 많은 이들의 사랑을 받았던 어머니의 손맛을 묵묵히 지켜내고 있다. 정성 들여 빚은 이곳의 만둣국은 깔끔하면서도 감칠맛 나는 양지머리를 삶은 육수에 매콤한 양념을 얹어 내므로 혹 매운맛을 선호하지 않는다면 주문 시 양념을 빼달라고 부탁하면 된다.
Jokbal,족발,Bib Gourmand,빕 구르망,At Manjok Oyhang Jokbal the beloved Korean braised pigs feet dish is impeccably crafted with the utmost dedication and care to hygiene and quality. The restaurant armed with a systematic central distribution system offers consistent quality at all of its franchised locations. Here the popular pork dish can be enjoyed warm until the very last piece thanks to the specially designed hotplates installed into the tables.,예로부터 한국인들의 대중적인 사랑을 받아온 족발을 최고의 맛으로 제공하자는 일념하에 달려온 만족오향족발은 철저한 위생 관리는 물론 중앙 공급 시스템과 통합 물류 시스템을 체계적으로 운영해 전 매장에서 균등한 품질의 족발을 제공한다. 국내 최초로 온족을 개발한 이곳은 묵묵히 한길을 걸어온 전문점답게 품질 만족도가 높은 편이다. 현재 세 곳의 직영점을 운영하고 있다.
Kalguksu,칼국수,Bib Gourmand,빕 구르망,Myeongdong Kyoja is a family-owned place in operation since 1966. The restaurant which offers only four items on the menu specializes in dumplings and noodle soup. An impressive number of patrons flock here daily largely because all the dishes including its signature garlic-laden kimchi are made in-house. Simple décor and service come with hefty portions at affordable prices. It has a sister operation in the same area of Myeong-dong.,1966년에 개점한 명동교자는 전통 조리법을 고수하는 칼국수 전문점으로 가족 경영 음식점이다. 선보이는 메뉴는 4가지 품목으로 단출하지만 만두와 칼국수는 오랫동안 이곳을 대중들에게 알린 대표 메뉴라 할 수 있다. 소박한 서비스와 인테리어 합리적인 가격 덕에 명동교자 밖에는 항상 손님들이 줄지어 문전성시를 이룬다. 한편 같은 구역에 본점과 동일한 메뉴를 제공하는 2호점을 운영하고 있다.
Soba,소바,Bib Gourmand,빕 구르망,The star of the show at Minami is Japanese-style soba noodles. Trained at the prestigious Tsuji Culinary Institute in Osaka Japan Chef Nam Chang-soo is no stranger to the world of Japanese cuisine but he professes that soba is his one true love. While respecting the time-honored traditions of Japanese-style buckwheat noodles Nam adds his own spin to the soba dishes he serves. Customer favorites include soba noodle soup topped with soy sauce-braised and grilled conger eel as well as another variety with soy sauce-braised herring imported from Kyoto.,일식 분야에서 다양한 경험을 쌓은 남창수 셰프의 소바 전문점 미나미. 무궁무진한 일식 요리 중 굳이 소바를 선택한 이유는 부지불식간에 메밀 면 특유의 은은한 매력에 빠졌기 때문이라고 한다. 그는 일식 소바의 오랜 역사와 전통을 존중하는 동시에 자신만의 개성이 묻어나는 다양한 소바 요리를 선보이고 있다. 그윽한 불 향의 간장조림 붕장어를 올린 아나고난방과 교토에서 직접 공수한 간장조림 청어를 올린 니신난방이 이곳의 대표 메뉴다. 소바 외에 생선구이와 튀김 요리 같은 단품 요리도 제공한다.
Soba,소바,Bib Gourmand,빕 구르망,Mimi Myeonga is a local favorite sought after by lovers of buckwheat noodles. Made in-house with an unconventional ratio of only three parts buckwheat Chef Jang Seung-woo’s noodles have an undeniably chewy texture while still maintaining the subtle nutty fragrance of buckwheat. There is something for everyone on the menu; in addition to the basic zaru soba customers can choose from a list of soba dishes that are served hot or cold featuring different broths and toppings that always hit the spot.,재치 있는 소바 요리로 손님들의 발길이 끊이지 않는 미미 면가. 이곳의 메밀 면은 쫄깃한 식감을 자랑하는데 메밀 함량 3할이라는 파격적인 비율 덕분이다. 그럼에도 불구하고 메밀의 구수한 풍미가 살아 있는 것을 보면 장승우 셰프의 노력과 고민의 흔적이 엿보인다. 이곳은 기본이 탄탄한 자루소바 외에도 형식에 구애받지 않는 다양한 메뉴가 인상적이다. 국수 한 그릇의 온도 국물과 고명에 따라 각각의 개성이 뚜렷한 소바 요리를 즐기고 싶다면 미미 면가로 향하자.
Memil-guksu,메밀국수,Bib Gourmand,빕 구르망,Located in the heart of Gwanghwamun Mijin has been serving Korean-style cold buckwheat noodles since 1952. The restaurant operates a factory in the basement where the dipping sauce and buckwheat noodles are prepared fresh daily. One portion comes with two stacked tray baskets of noodles a large kettle of chilled sauce and basic side dishes. Dress your dipping sauce to your desire with grated daikon light wasabi crispy seasoned laver and chopped green onions that have already been laid out on the table for you.,1952년부터 광화문 일대를 지켜온 터줏대감인 미진은 한국식 냉메밀국수 전문점으로 일본식 소바 쯔유보다 진한 맛의 간장 육수와 더 쫄깃한 식감의 메밀 면발을 선보인다. 식당 지하에 운영하는 공장에서 육수와 면을 직접 생산해 손님들에게 바로바로 제공한다. 한 주전자 가득 담긴 차가운 육수와 테이블마다 인심 좋게 제공하는 메밀국수 고명은 기호에 따라 가감이 가능하다. 숙주와 두부 신김치와 돼지고기 소로 채운 메밀전병 역시 이 집의 인기 메뉴인데 1인분의 반인 한 줄씩도 판매한다.
Dubu,두부,Bib Gourmand,빕 구르망,Located across the main road from Seoul Arts Center Baek Nyun Ok has been attracting loyal patrons including local performers and musicians in droves since 1992. This humble institution specializes in fresh homemade bean curd which is the central ingredient in a variety of dishes offered. These include plain soft bean curd and soft bean curd stew with nutty perilla seeds. The interior is simply decorated and offers both table and floor seating.,예술의전당 맞은편 도로변에 위치한 백년옥은 1992년 영업을 개시한 이래 많은 이들의 사랑을 받는 두부 요리 전문점이다. 세월이 고스란히 묻어나는 소박한 실내는 테이블석과 방석 자리로 나뉘어 있다. 두부 전문점답게 콩비지 되비지 신선한 순두부 등 여러 가지 수제 두부 요리를 선보인다. 손님들이 붐비는 식사 시간에 만석일 경우 백년옥에서 운영하는 오래된 칼국수 전문점 목천집(앵콜 칼국수)으로 자리를 옮기는 것도 좋은 방법이다.
Mandu,만두,Bib Gourmand,빕 구르망,Mandutguk or Korean dumpling soup is a dish that is deeply rooted in the day-to-day lives of Koreans. Owner Yoon Young-sook became acquainted with Hwanghaedo-style dumpling soup through her mother-in-law a native of Sariwon which is north of the border. To emulate the pure taste of the original dumpling filling Yoon says she follows her recipe to the tee and feels very proud when she hears customers say her dumplings remind them of their own grandmothers.,서민들의 일상에 깊숙이 자리매김한 한국의 대표적인 대중음식 중의 하나가 바로 만둣국이다. 이곳의 윤영숙 대표는 황해도 사리원 출신의 시어머니를 통해 자연스럽게 황해도식 만둣국을 접하게 되었으며 오랜 경험을 통해 터득한 깊은 맛을 고객들에게 전하고 있다. 그녀는 삼삼하고 깔끔한 맛의 만두소를 만들기 위해 오랫동안 시어머니의 비법을 고수하고 있다. 무엇보다 고향의 맛 혹은 어린 시절 할머니가 만들어주셨던 만둣국 맛이라는 평을 들을 때 뿌듯함을 느낀다는 윤 대표의 말에서 자부심이 느껴진다.
